PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Payment Terms,Department,Location,Approval Status,Priority,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-68151,Premium Materials Co,2026-01-22,2026-02-04,2026-02-04,79x Mouse; 47x Network Switch; 62x Network Switch,188,741.04,117614.75,EUR,Net 90,HR,Sydney,Approved,Urgent,Standard delivery,11761.48,129376.23,Emily Chen,David Lee
PO-2026-38025,Component World,2026-01-22,2026-02-20,2026-02-20,76x SSD Storage; 46x Power Supply; 6x Keyboard; 46x Network Switch; 42x Router,216,308.83,91489.40,USD,Net 90,IT,New York,Approved,High,Standard delivery,9148.94,100638.34,Mike Davis,David Lee
PO-2026-37098,Digital Systems,2026-01-22,2026-02-12,2026-02-12,81x Filing Cabinet; 32x SSD Storage; 60x Keyboard; 85x Router; 80x Keyboard,338,299.25,128097.07,CAD,Net 60,IT,Toronto,Pending,High,,12809.71,140906.78,Robert Wilson,Alice Brown
PO-2026-59455,Industrial Parts Group,2026-01-22,2026-01-29,2026-01-29,21x Power Supply; 82x Router,103,206.33,42353.87,EUR,COD,HR,London,Pending,Medium,Urgent delivery required,4235.39,46589.26,Emily Chen,Alice Brown
PO-2026-99660,Premium Materials Co,2026-01-22,2026-02-16,2026-02-16,69x Filing Cabinet,69,409.26,28238.94,AUD,Net 90,Finance,New York,Approved,Urgent,Quality inspection required,2823.89,31062.83,Emily Chen,Jessica White
PO-2026-77828,Component World,2026-01-22,2026-02-15,2026-02-15,61x Server RAM,61,660.55,40293.55,AUD,Net 30,Logistics,Sydney,Pending,High,,4029.36,44322.91,Mike Davis,Jessica White
PO-2026-54238,Global Supplies Inc,2026-01-22,2026-02-11,2026-02-11,72x Power Supply; 100x Filing Cabinet; 49x Laptop; 37x Office Desk; 31x SSD Storage,289,469.73,162914.06,USD,COD,Logistics,Sydney,Rejected,Urgent,Special packaging needed,16291.41,179205.47,Sarah Johnson,Lisa Anderson
PO-2026-68898,Quality Distributors,2026-01-22,2026-02-02,2026-02-02,82x Printer Paper; 43x Mouse; 75x Router; 11x Mouse,211,843.03,122054.79,AUD,2/10 Net 30,IT,Sydney,Rejected,Medium,Urgent delivery required,12205.48,134260.27,John Smith,Tom Martinez
PO-2026-19538,Component World,2026-01-22,2026-02-03,2026-02-03,85x Router,85,237.91,20222.35,USD,Net 60,Operations,Los Angeles,Approved,Urgent,Standard delivery,2022.23,22244.58,Robert Wilson,David Lee
PO-2026-45462,Quality Distributors,2026-01-22,2026-02-13,2026-02-13,1x Network Switch; 66x SSD Storage,67,240.43,1075.33,EUR,Net 60,HR,Chicago,Pending,Low,Standard delivery,107.53,1182.86,John Smith,Tom Martinez
PO-2026-62198,Acme Corp,2026-01-22,2026-01-27,2026-01-27,27x Keyboard; 40x Laptop,67,906.91,64367.77,USD,Net 30,Finance,Sydney,Approved,Medium,,6436.78,70804.55,Sarah Johnson,Jessica White
PO-2026-99318,Global Supplies Inc,2026-01-22,2026-02-15,2026-02-15,34x Mouse; 79x Monitor,113,177.08,75117.28,AUD,COD,Operations,Los Angeles,Approved,Medium,Special packaging needed,7511.73,82629.01,John Smith,David Lee
PO-2026-39677,Enterprise Solutions,2026-01-22,2026-02-19,2026-02-19,38x Ink Cartridge; 48x Network Switch; 23x Filing Cabinet; 40x Network Switch,149,880.44,116924.75,USD,COD,HR,Toronto,Rejected,Medium,Quality inspection required,11692.47,128617.22,Mike Davis,Jessica White
PO-2026-15952,Enterprise Solutions,2026-01-22,2026-02-12,2026-02-12,77x Filing Cabinet; 1x Mouse; 99x Desk Chair; 77x Printer Paper; 99x Server RAM,353,889.97,181477.41,EUR,Net 30,Finance,Chicago,Rejected,High,,18147.74,199625.15,Mike Davis,David Lee
PO-2026-18659,Enterprise Solutions,2026-01-22,2026-02-14,2026-02-14,72x Filing Cabinet; 17x Network Switch; 48x Router; 58x Server RAM; 11x Monitor,206,300.38,85948.17,CAD,2/10 Net 30,HR,Chicago,Rejected,High,Standard delivery,8594.82,94542.99,Emily Chen,Jessica White
PO-2026-39613,Digital Systems,2026-01-22,2026-02-17,2026-02-17,59x Office Desk; 4x Ink Cartridge; 95x Ink Cartridge; 2x Network Switch,160,687.23,46371.33,AUD,Net 90,IT,London,Approved,Urgent,Quality inspection required,4637.13,51008.46,Mike Davis,Jessica White
PO-2026-90327,Component World,2026-01-22,2026-02-17,2026-02-17,3x Filing Cabinet,3,308.89,926.67,CAD,Net 30,Operations,Los Angeles,Approved,Medium,Urgent delivery required,92.67,1019.34,Mike Davis,Alice Brown
PO-2026-23219,Premium Materials Co,2026-01-22,2026-02-16,2026-02-16,47x Keyboard; 63x Monitor,110,696.02,42215.23,GBP,Net 60,HR,Chicago,Approved,Low,Urgent delivery required,4221.52,46436.75,Emily Chen,Tom Martinez
PO-2026-96978,Enterprise Solutions,2026-01-22,2026-01-30,2026-01-30,20x Desk Chair; 73x Network Switch,93,797.91,20839.71,GBP,Net 90,IT,New York,Pending,High,Special packaging needed,2083.97,22923.68,Mike Davis,Alice Brown
PO-2026-89787,Premium Materials Co,2026-01-22,2026-01-28,2026-01-28,8x Router; 5x Keyboard; 39x Office Desk; 37x Network Switch,89,60.37,16267.44,USD,Due on Receipt,Finance,Los Angeles,Pending,Low,Quality inspection required,1626.74,17894.18,Robert Wilson,Alice Brown
PO-2026-75272,Component World,2026-01-22,2026-01-27,2026-01-27,32x Monitor; 45x Desk Chair; 55x Ink Cartridge; 95x Server RAM; 37x Printer Paper,264,39.87,89410.83,AUD,Net 90,Finance,Toronto,Rejected,Medium,,8941.08,98351.91,John Smith,Lisa Anderson
PO-2026-59474,Industrial Parts Group,2026-01-22,2026-02-05,2026-02-05,81x SSD Storage; 76x Office Desk; 14x Network Switch,171,241.79,38720.39,GBP,Net 30,Logistics,Toronto,Pending,Urgent,Standard delivery,3872.04,42592.43,Emily Chen,Tom Martinez
PO-2026-74600,Enterprise Solutions,2026-01-22,2026-01-31,2026-01-31,39x Laptop; 93x Keyboard; 31x Router; 3x Power Supply,166,604.32,95987.36,USD,Net 60,HR,Los Angeles,Pending,Urgent,Urgent delivery required,9598.74,105586.10,Emily Chen,Lisa Anderson
PO-2026-48096,Office Plus,2026-01-22,2026-01-27,2026-01-27,18x Laptop; 4x Filing Cabinet,22,403.95,7749.26,USD,COD,IT,Los Angeles,Pending,Medium,Special packaging needed,774.93,8524.19,Robert Wilson,David Lee
PO-2026-39244,Enterprise Solutions,2026-01-22,2026-01-30,2026-01-30,38x Office Desk; 29x Ink Cartridge; 90x SSD Storage; 66x Desk Chair,223,559.55,101785.24,AUD,Net 60,Finance,Sydney,Rejected,Low,,10178.52,111963.76,Mike Davis,Lisa Anderson
PO-2026-99650,Component World,2026-01-22,2026-02-18,2026-02-18,55x Router; 22x Printer Paper; 73x Monitor; 4x SSD Storage,154,568.14,79751.81,GBP,COD,HR,Toronto,Approved,Urgent,Urgent delivery required,7975.18,87726.99,John Smith,David Lee
PO-2026-75262,Premium Materials Co,2026-01-22,2026-02-20,2026-02-20,97x Power Supply; 65x Ink Cartridge; 2x Filing Cabinet; 86x Power Supply,250,675.31,92479.58,EUR,Net 30,HR,Sydney,Pending,Low,Quality inspection required,9247.96,101727.54,Mike Davis,Jessica White
PO-2026-27093,Office Plus,2026-01-22,2026-02-06,2026-02-06,58x Keyboard; 42x USB Cable; 39x Ink Cartridge; 41x Network Switch; 31x Laptop,211,311.68,127774.11,GBP,Due on Receipt,HR,London,Approved,High,Standard delivery,12777.41,140551.52,Sarah Johnson,Tom Martinez
PO-2026-54935,Acme Corp,2026-01-22,2026-02-02,2026-02-02,8x Ink Cartridge; 30x Printer Paper,38,455.28,12540.84,EUR,2/10 Net 30,IT,New York,Pending,Medium,Quality inspection required,1254.08,13794.92,John Smith,Lisa Anderson
PO-2026-20348,Component World,2026-01-22,2026-02-18,2026-02-18,25x USB Cable,25,707.24,17681.00,USD,2/10 Net 30,Operations,Toronto,Pending,Medium,Special packaging needed,1768.10,19449.10,Emily Chen,David Lee
PO-2026-73232,Quality Distributors,2026-01-22,2026-01-27,2026-01-27,98x Office Desk; 6x Office Desk; 7x Printer Paper; 47x Ink Cartridge; 10x SSD Storage,168,933.20,135031.57,CAD,Net 30,Operations,New York,Approved,High,Special packaging needed,13503.16,148534.73,Sarah Johnson,David Lee
PO-2026-31104,Enterprise Solutions,2026-01-22,2026-02-20,2026-02-20,26x Network Switch; 62x Office Desk; 93x Power Supply; 75x Network Switch; 77x SSD Storage,333,394.41,127567.46,EUR,Net 30,HR,Los Angeles,Pending,Urgent,Special packaging needed,12756.75,140324.21,John Smith,Lisa Anderson
PO-2026-85496,Enterprise Solutions,2026-01-22,2026-02-11,2026-02-11,40x Monitor,40,764.32,30572.80,CAD,Due on Receipt,HR,London,Rejected,Urgent,Special packaging needed,3057.28,33630.08,Sarah Johnson,Tom Martinez
PO-2026-14708,Premium Materials Co,2026-01-22,2026-02-21,2026-02-21,6x Mouse,6,727.97,4367.82,CAD,2/10 Net 30,Finance,Chicago,Rejected,Medium,Special packaging needed,436.78,4804.60,Emily Chen,Tom Martinez
PO-2026-64480,Digital Systems,2026-01-22,2026-01-29,2026-01-29,81x Power Supply,81,589.46,47746.26,USD,COD,Logistics,London,Approved,Urgent,Urgent delivery required,4774.63,52520.89,Sarah Johnson,Lisa Anderson
PO-2026-85295,Global Supplies Inc,2026-01-22,2026-02-21,2026-02-21,44x Desk Chair; 8x Mouse; 36x Office Desk,88,70.05,12071.08,GBP,2/10 Net 30,Operations,Chicago,Approved,High,Standard delivery,1207.11,13278.19,Robert Wilson,Jessica White
PO-2026-56754,Component World,2026-01-22,2026-02-17,2026-02-17,75x Laptop; 89x Filing Cabinet; 16x Power Supply,180,823.79,122514.67,AUD,Due on Receipt,IT,Toronto,Pending,Medium,Special packaging needed,12251.47,134766.14,Sarah Johnson,Tom Martinez
PO-2026-14793,Enterprise Solutions,2026-01-22,2026-01-30,2026-01-30,40x Keyboard; 41x Desk Chair; 97x Desk Chair; 50x Network Switch; 51x Keyboard,279,843.86,167594.02,EUR,2/10 Net 30,Finance,New York,Pending,Low,,16759.40,184353.42,John Smith,Jessica White
PO-2026-11502,Component World,2026-01-22,2026-02-16,2026-02-16,59x Keyboard; 5x Router,64,446.67,28087.68,CAD,2/10 Net 30,IT,Sydney,Rejected,High,Urgent delivery required,2808.77,30896.45,Robert Wilson,Alice Brown
PO-2026-70295,Digital Systems,2026-01-22,2026-01-28,2026-01-28,12x Laptop; 90x Network Switch; 76x Laptop; 18x Power Supply; 37x Office Desk,233,815.76,124107.14,EUR,2/10 Net 30,Operations,Chicago,Pending,Low,Special packaging needed,12410.71,136517.85,Robert Wilson,Jessica White
PO-2026-21772,Office Plus,2026-01-22,2026-01-30,2026-01-30,64x Office Desk; 3x SSD Storage; 79x Desk Chair,146,262.79,24686.09,AUD,Net 30,HR,Toronto,Rejected,Low,Standard delivery,2468.61,27154.70,Emily Chen,Lisa Anderson
PO-2026-51891,Enterprise Solutions,2026-01-22,2026-02-10,2026-02-10,60x Ink Cartridge,60,941.53,56491.80,USD,Due on Receipt,Finance,New York,Approved,High,Standard delivery,5649.18,62140.98,John Smith,Tom Martinez
PO-2026-41226,Acme Corp,2026-01-22,2026-02-14,2026-02-14,93x Printer Paper; 15x Router; 41x Laptop; 48x Filing Cabinet; 11x USB Cable,208,194.00,54401.92,USD,2/10 Net 30,IT,Chicago,Approved,Urgent,Quality inspection required,5440.19,59842.11,John Smith,Alice Brown
PO-2026-66016,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,23x SSD Storage; 27x Office Desk,50,620.50,31037.42,EUR,COD,IT,Sydney,Approved,High,,3103.74,34141.16,Mike Davis,Lisa Anderson
PO-2026-35230,Digital Systems,2026-01-22,2026-02-03,2026-02-03,82x USB Cable,82,215.31,17655.42,USD,Due on Receipt,Finance,Sydney,Rejected,Urgent,,1765.54,19420.96,Robert Wilson,David Lee
PO-2026-55899,Global Supplies Inc,2026-01-22,2026-02-01,2026-02-01,35x Ink Cartridge; 80x SSD Storage; 58x Filing Cabinet; 30x Router,203,536.81,59060.35,EUR,COD,Finance,New York,Rejected,High,Special packaging needed,5906.03,64966.39,Sarah Johnson,David Lee
PO-2026-83506,Premium Materials Co,2026-01-22,2026-02-19,2026-02-19,88x Monitor; 48x Server RAM; 92x Desk Chair; 10x Server RAM; 48x Network Switch,286,94.77,172014.54,USD,Net 30,Operations,London,Approved,Medium,Special packaging needed,17201.45,189215.99,Emily Chen,Alice Brown
PO-2026-14732,Industrial Parts Group,2026-01-22,2026-01-29,2026-01-29,60x Keyboard; 64x USB Cable; 82x Filing Cabinet; 35x USB Cable,241,818.14,152545.34,GBP,Due on Receipt,Operations,Los Angeles,Rejected,Medium,,15254.53,167799.87,Emily Chen,David Lee
PO-2026-50686,Acme Corp,2026-01-22,2026-02-20,2026-02-20,74x Mouse; 95x Ink Cartridge; 28x Office Desk,197,304.08,71934.43,GBP,Net 60,HR,Sydney,Rejected,Low,Special packaging needed,7193.44,79127.87,Mike Davis,Lisa Anderson
PO-2026-80941,Office Plus,2026-01-22,2026-01-27,2026-01-27,61x Filing Cabinet; 76x Keyboard,137,373.55,51698.47,GBP,Net 60,HR,Sydney,Approved,Medium,Urgent delivery required,5169.85,56868.32,John Smith,David Lee
PO-2026-51117,Component World,2026-01-22,2026-02-01,2026-02-01,54x Printer Paper; 50x SSD Storage,104,593.11,49245.44,EUR,Net 90,IT,Los Angeles,Pending,Low,,4924.54,54169.98,Mike Davis,Jessica White
PO-2026-95866,Quality Distributors,2026-01-22,2026-01-27,2026-01-27,81x Network Switch,81,440.22,35657.82,GBP,2/10 Net 30,Logistics,London,Pending,Urgent,,3565.78,39223.60,Mike Davis,Jessica White
PO-2026-52423,Quality Distributors,2026-01-22,2026-01-31,2026-01-31,96x Filing Cabinet; 19x Network Switch,115,306.24,43127.87,EUR,COD,Finance,New York,Rejected,Low,Special packaging needed,4312.79,47440.66,Robert Wilson,Tom Martinez
PO-2026-64052,Quality Distributors,2026-01-22,2026-02-15,2026-02-15,8x USB Cable; 8x Desk Chair; 64x Server RAM; 14x Ink Cartridge,94,645.17,36851.74,EUR,Net 60,Finance,New York,Approved,High,Urgent delivery required,3685.17,40536.91,Emily Chen,Lisa Anderson
PO-2026-44212,Office Plus,2026-01-22,2026-02-12,2026-02-12,38x Power Supply,38,369.65,14046.70,GBP,Net 30,HR,Toronto,Pending,Medium,Standard delivery,1404.67,15451.37,Robert Wilson,Jessica White
PO-2026-64018,Premium Materials Co,2026-01-22,2026-02-06,2026-02-06,85x Printer Paper; 75x SSD Storage; 88x Server RAM; 55x Ink Cartridge; 7x USB Cable,310,524.82,164139.06,AUD,2/10 Net 30,Operations,London,Rejected,Low,,16413.91,180552.97,Mike Davis,Jessica White
PO-2026-53996,Office Plus,2026-01-22,2026-02-03,2026-02-03,42x SSD Storage,42,0.64,26.88,CAD,Net 90,Operations,Sydney,Rejected,Low,Standard delivery,2.69,29.57,Sarah Johnson,Alice Brown
PO-2026-39512,Acme Corp,2026-01-22,2026-02-10,2026-02-10,64x Mouse; 97x SSD Storage; 70x Ink Cartridge,231,319.46,167363.80,EUR,Net 90,IT,Toronto,Rejected,Medium,,16736.38,184100.18,John Smith,Tom Martinez
PO-2026-69818,Component World,2026-01-22,2026-02-01,2026-02-01,7x Keyboard; 66x SSD Storage; 60x Laptop; 33x Office Desk; 48x Router,214,102.35,132506.57,GBP,Net 60,Finance,Los Angeles,Rejected,Urgent,Special packaging needed,13250.66,145757.23,John Smith,Tom Martinez
PO-2026-18285,Quality Distributors,2026-01-22,2026-02-11,2026-02-11,17x Office Desk; 72x Filing Cabinet; 53x Mouse,142,127.98,112962.83,AUD,COD,HR,Toronto,Approved,Urgent,Standard delivery,11296.28,124259.11,John Smith,David Lee
PO-2026-33350,Component World,2026-01-22,2026-02-18,2026-02-18,79x Office Desk,79,660.42,52173.18,GBP,Net 90,Logistics,London,Approved,Urgent,Standard delivery,5217.32,57390.50,John Smith,Tom Martinez
PO-2026-33480,Premium Materials Co,2026-01-22,2026-01-28,2026-01-28,12x Printer Paper; 88x Mouse,100,771.56,84640.40,AUD,Net 60,Operations,Chicago,Approved,High,Urgent delivery required,8464.04,93104.44,Robert Wilson,Alice Brown
PO-2026-27638,Enterprise Solutions,2026-01-22,2026-02-19,2026-02-19,64x Laptop; 25x Server RAM; 34x Mouse,123,444.74,39697.52,AUD,Net 60,HR,Los Angeles,Pending,Urgent,Special packaging needed,3969.75,43667.27,Robert Wilson,David Lee
PO-2026-55511,Quality Distributors,2026-01-22,2026-02-16,2026-02-16,40x Laptop; 26x Power Supply; 60x Router; 72x SSD Storage,198,325.81,104599.36,EUR,2/10 Net 30,HR,New York,Approved,Medium,Urgent delivery required,10459.94,115059.30,Sarah Johnson,Jessica White
PO-2026-50001,Global Supplies Inc,2026-01-22,2026-02-21,2026-02-21,93x Filing Cabinet; 76x Network Switch,169,7.25,49627.37,EUR,Net 30,Operations,Los Angeles,Approved,Urgent,Special packaging needed,4962.74,54590.11,Emily Chen,Alice Brown
PO-2026-89028,Component World,2026-01-22,2026-02-18,2026-02-18,46x Monitor; 41x Server RAM; 29x SSD Storage,116,523.44,60152.82,EUR,Due on Receipt,Logistics,New York,Rejected,Low,,6015.28,66168.10,Mike Davis,Alice Brown
PO-2026-12815,Office Plus,2026-01-22,2026-02-19,2026-02-19,12x Ink Cartridge; 51x Printer Paper; 61x Desk Chair,124,133.20,75957.95,EUR,Net 30,Finance,Toronto,Rejected,Medium,Standard delivery,7595.80,83553.75,John Smith,David Lee
PO-2026-35253,Enterprise Solutions,2026-01-22,2026-02-17,2026-02-17,9x Power Supply,9,499.41,4494.69,USD,COD,IT,New York,Approved,Medium,Standard delivery,449.47,4944.16,Robert Wilson,Jessica White
PO-2026-52155,Global Supplies Inc,2026-01-22,2026-02-17,2026-02-17,21x Desk Chair; 85x Monitor; 67x Server RAM,173,698.95,25200.14,AUD,Net 90,Logistics,New York,Rejected,High,Quality inspection required,2520.01,27720.15,Robert Wilson,Tom Martinez
PO-2026-69068,Component World,2026-01-22,2026-02-08,2026-02-08,8x Monitor,8,262.55,2100.40,CAD,COD,IT,Sydney,Rejected,Medium,Urgent delivery required,210.04,2310.44,John Smith,Alice Brown
PO-2026-65517,Industrial Parts Group,2026-01-22,2026-02-17,2026-02-17,65x Laptop; 58x Printer Paper; 84x Network Switch; 14x Laptop,221,282.14,125264.24,EUR,Net 30,Logistics,Sydney,Approved,Urgent,Quality inspection required,12526.42,137790.66,Sarah Johnson,Jessica White
PO-2026-15044,Tech Solutions Ltd,2026-01-22,2026-02-04,2026-02-04,90x Laptop; 48x Printer Paper; 61x Keyboard,199,473.10,84685.75,GBP,Net 30,Logistics,Chicago,Approved,Low,,8468.58,93154.33,John Smith,Tom Martinez
PO-2026-65449,Quality Distributors,2026-01-22,2026-02-19,2026-02-19,11x Ink Cartridge; 68x Printer Paper; 97x Desk Chair; 71x Mouse; 63x Filing Cabinet,310,910.30,94024.75,GBP,Net 60,Finance,London,Approved,Low,,9402.48,103427.23,Mike Davis,David Lee
PO-2026-83071,Tech Solutions Ltd,2026-01-22,2026-01-30,2026-01-30,32x Ink Cartridge,32,344.05,11009.60,GBP,COD,Operations,Chicago,Rejected,Urgent,Standard delivery,1100.96,12110.56,Mike Davis,David Lee
PO-2026-75452,Quality Distributors,2026-01-22,2026-02-17,2026-02-17,11x Filing Cabinet; 56x Mouse; 9x SSD Storage; 2x Ink Cartridge,78,459.45,56168.30,GBP,COD,Finance,Toronto,Approved,Low,Standard delivery,5616.83,61785.13,John Smith,David Lee
PO-2026-79896,Digital Systems,2026-01-22,2026-02-17,2026-02-17,14x SSD Storage; 77x Office Desk; 40x Server RAM; 70x Laptop; 77x Filing Cabinet,278,484.59,178780.14,GBP,Net 90,HR,New York,Rejected,High,Special packaging needed,17878.01,196658.15,Mike Davis,Tom Martinez
PO-2026-79182,Enterprise Solutions,2026-01-22,2026-02-16,2026-02-16,83x Filing Cabinet; 76x Printer Paper; 7x SSD Storage; 74x Desk Chair,240,384.28,125785.37,AUD,Net 90,Operations,London,Rejected,Urgent,Standard delivery,12578.54,138363.91,Sarah Johnson,Alice Brown
PO-2026-87939,Quality Distributors,2026-01-22,2026-02-14,2026-02-14,99x Power Supply,99,718.66,71147.34,EUR,Net 90,HR,Sydney,Pending,Urgent,,7114.73,78262.07,Emily Chen,Alice Brown
PO-2026-96446,Enterprise Solutions,2026-01-22,2026-02-21,2026-02-21,8x Router; 72x Filing Cabinet; 82x Network Switch; 45x USB Cable,207,812.83,95708.09,USD,COD,IT,Los Angeles,Pending,Urgent,,9570.81,105278.90,Emily Chen,Jessica White
PO-2026-47470,Global Supplies Inc,2026-01-22,2026-02-09,2026-02-09,63x Office Desk; 23x Desk Chair,86,774.98,49434.16,USD,Due on Receipt,Operations,Sydney,Pending,Medium,,4943.42,54377.58,Robert Wilson,Alice Brown
PO-2026-28151,Acme Corp,2026-01-22,2026-02-10,2026-02-10,50x Ink Cartridge; 28x Monitor; 51x Router; 77x Mouse,206,227.85,65882.06,GBP,Net 90,Logistics,Sydney,Pending,Low,,6588.21,72470.27,John Smith,Tom Martinez
PO-2026-24888,Global Supplies Inc,2026-01-22,2026-01-31,2026-01-31,76x Router; 68x Power Supply; 5x Desk Chair; 57x Power Supply; 21x Ink Cartridge,227,10.57,68011.86,EUR,COD,HR,Toronto,Pending,Medium,Urgent delivery required,6801.19,74813.05,Robert Wilson,David Lee
PO-2026-32293,Tech Solutions Ltd,2026-01-22,2026-02-20,2026-02-20,18x Filing Cabinet; 35x Network Switch,53,890.53,48947.04,EUR,COD,Operations,New York,Rejected,Low,,4894.70,53841.74,Robert Wilson,Lisa Anderson
PO-2026-75571,Digital Systems,2026-01-22,2026-02-11,2026-02-11,42x SSD Storage; 96x Ink Cartridge; 56x Printer Paper; 22x Office Desk,216,669.62,89447.08,AUD,Net 60,IT,Toronto,Approved,High,Urgent delivery required,8944.71,98391.79,Emily Chen,Lisa Anderson
PO-2026-33793,Tech Solutions Ltd,2026-01-22,2026-02-06,2026-02-06,36x USB Cable; 4x Server RAM,40,88.25,6554.72,GBP,Net 60,Operations,Toronto,Rejected,High,Special packaging needed,655.47,7210.19,Sarah Johnson,Lisa Anderson
PO-2026-85681,Premium Materials Co,2026-01-22,2026-02-02,2026-02-02,37x Power Supply; 80x SSD Storage; 16x SSD Storage,133,148.57,16955.17,CAD,Due on Receipt,Operations,Chicago,Pending,Low,Special packaging needed,1695.52,18650.69,Robert Wilson,David Lee
PO-2026-30267,Component World,2026-01-22,2026-02-10,2026-02-10,83x Keyboard,83,68.70,5702.10,GBP,Net 60,Finance,London,Pending,Urgent,Special packaging needed,570.21,6272.31,Mike Davis,Alice Brown
PO-2026-51713,Industrial Parts Group,2026-01-22,2026-02-21,2026-02-21,8x Router; 42x Power Supply; 61x Network Switch; 56x Keyboard; 14x Ink Cartridge,181,506.54,123152.99,GBP,Due on Receipt,Logistics,Toronto,Rejected,High,Quality inspection required,12315.30,135468.29,John Smith,David Lee
PO-2026-34880,Enterprise Solutions,2026-01-22,2026-02-18,2026-02-18,60x Power Supply; 1x Monitor; 1x Printer Paper,62,492.97,30358.09,USD,Net 90,Finance,Los Angeles,Rejected,Urgent,Quality inspection required,3035.81,33393.90,Sarah Johnson,Lisa Anderson
PO-2026-17482,Component World,2026-01-22,2026-02-07,2026-02-07,30x SSD Storage; 59x Mouse; 53x Keyboard; 2x SSD Storage; 20x Desk Chair,164,105.24,52047.56,AUD,Net 90,HR,Chicago,Pending,Urgent,Urgent delivery required,5204.76,57252.32,Sarah Johnson,Tom Martinez
PO-2026-72804,Quality Distributors,2026-01-22,2026-02-09,2026-02-09,89x USB Cable,89,831.65,74016.85,GBP,2/10 Net 30,Logistics,Chicago,Rejected,Medium,Urgent delivery required,7401.69,81418.54,Mike Davis,David Lee
PO-2026-58383,Global Supplies Inc,2026-01-22,2026-01-29,2026-01-29,20x Server RAM; 89x Filing Cabinet,109,247.69,5513.61,EUR,Net 30,HR,New York,Pending,High,Urgent delivery required,551.36,6064.97,Emily Chen,Jessica White
PO-2026-45141,Office Plus,2026-01-22,2026-02-01,2026-02-01,32x Printer Paper,32,135.62,4339.84,CAD,Net 90,Logistics,Los Angeles,Rejected,Medium,Special packaging needed,433.98,4773.82,Mike Davis,Alice Brown
PO-2026-64110,Industrial Parts Group,2026-01-22,2026-02-03,2026-02-03,58x Mouse; 20x Mouse; 27x Desk Chair,105,750.11,61141.27,EUR,Net 60,Operations,New York,Rejected,Low,Special packaging needed,6114.13,67255.40,John Smith,Tom Martinez
PO-2026-59088,Office Plus,2026-01-22,2026-01-31,2026-01-31,8x Office Desk; 86x SSD Storage; 29x Network Switch; 57x Power Supply; 5x Server RAM,185,205.56,123877.31,EUR,Due on Receipt,Finance,London,Rejected,Urgent,Urgent delivery required,12387.73,136265.04,Robert Wilson,Tom Martinez
PO-2026-33344,Digital Systems,2026-01-22,2026-02-15,2026-02-15,89x Network Switch; 36x SSD Storage,125,536.98,63709.34,CAD,Net 60,Logistics,London,Rejected,Medium,Quality inspection required,6370.93,70080.27,Mike Davis,Lisa Anderson
PO-2026-52812,Acme Corp,2026-01-22,2026-02-20,2026-02-20,2x Laptop; 46x Monitor; 52x Mouse; 86x Network Switch,186,961.46,37346.44,AUD,Net 60,HR,Los Angeles,Approved,High,Special packaging needed,3734.64,41081.08,Mike Davis,Alice Brown
PO-2026-63676,Component World,2026-01-22,2026-02-13,2026-02-13,95x Keyboard; 81x Power Supply; 20x Office Desk,196,118.28,63951.92,CAD,Net 60,Logistics,Sydney,Rejected,Urgent,Special packaging needed,6395.19,70347.11,Sarah Johnson,Tom Martinez
PO-2026-81305,Tech Solutions Ltd,2026-01-22,2026-02-19,2026-02-19,46x Router; 53x Desk Chair; 37x Desk Chair; 52x Monitor,188,213.64,85927.03,CAD,Net 90,Operations,Toronto,Pending,Low,,8592.70,94519.73,John Smith,Tom Martinez
PO-2026-23382,Global Supplies Inc,2026-01-22,2026-02-15,2026-02-15,67x Printer Paper; 4x Desk Chair; 49x Monitor,120,567.35,58530.01,CAD,Net 90,Finance,Toronto,Pending,Medium,Standard delivery,5853.00,64383.01,Mike Davis,Jessica White
PO-2026-52421,Industrial Parts Group,2026-01-22,2026-02-10,2026-02-10,41x Printer Paper; 96x Router,137,420.67,98249.39,CAD,Net 90,Logistics,Sydney,Rejected,Urgent,Urgent delivery required,9824.94,108074.33,Robert Wilson,Alice Brown
PO-2026-30068,Tech Solutions Ltd,2026-01-22,2026-02-21,2026-02-21,96x Mouse; 70x Router,166,960.98,156732.48,AUD,Due on Receipt,IT,Sydney,Approved,High,,15673.25,172405.73,Robert Wilson,Tom Martinez
PO-2026-35083,Digital Systems,2026-01-22,2026-02-15,2026-02-15,72x Laptop,72,668.53,48134.16,CAD,2/10 Net 30,Finance,Los Angeles,Approved,Urgent,Urgent delivery required,4813.42,52947.58,Mike Davis,Alice Brown
PO-2026-37529,Industrial Parts Group,2026-01-22,2026-02-09,2026-02-09,52x Monitor; 59x SSD Storage; 61x Keyboard; 19x SSD Storage; 13x Keyboard,204,785.67,123703.92,EUR,COD,Logistics,Sydney,Pending,Low,,12370.39,136074.31,Emily Chen,Lisa Anderson
PO-2026-37179,Digital Systems,2026-01-22,2026-02-01,2026-02-01,67x SSD Storage; 68x Keyboard,135,234.77,54992.11,AUD,Net 60,Operations,Sydney,Pending,Low,Special packaging needed,5499.21,60491.32,Sarah Johnson,Lisa Anderson
