PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Status,Payment Terms,Department,Location,Approval Status,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-66040,Premium Materials Co,2026-01-22,2026-01-31,2026-01-31,73x Power Supply,73,304.82,22251.86,AUD,Received,Net 60,IT,London,Pending,Special packaging needed,2225.19,24477.05,Emily Chen,Jessica White
PO-2026-32017,Acme Corp,2026-01-22,2026-02-18,2026-02-18,52x SSD Storage; 95x Filing Cabinet; 5x Server RAM; 18x Mouse; 36x Desk Chair,206,233.81,54591.45,GBP,Approved,COD,IT,Toronto,Pending,Special packaging needed,5459.15,60050.60,Robert Wilson,Tom Martinez
PO-2026-48529,Acme Corp,2026-01-22,2026-02-08,2026-02-08,56x Laptop; 92x Monitor,148,911.63,79191.32,GBP,Draft,Net 90,HR,Toronto,Rejected,Urgent delivery required,7919.13,87110.45,Mike Davis,Lisa Anderson
PO-2026-30940,Tech Solutions Ltd,2026-01-22,2026-02-12,2026-02-12,8x USB Cable; 24x Monitor,32,423.05,8793.04,AUD,Approved,Net 90,HR,Chicago,Pending,Quality inspection required,879.30,9672.34,Robert Wilson,Jessica White
PO-2026-29027,Component World,2026-01-22,2026-02-01,2026-02-01,38x Printer Paper,38,277.41,10541.58,GBP,Received,2/10 Net 30,Finance,Toronto,Rejected,Special packaging needed,1054.16,11595.74,Mike Davis,David Lee
PO-2026-33221,Premium Materials Co,2026-01-22,2026-02-17,2026-02-17,27x Laptop; 40x Keyboard; 80x Laptop,147,765.59,49300.13,AUD,Received,Net 60,Operations,Los Angeles,Rejected,Standard delivery,4930.01,54230.14,Sarah Johnson,David Lee
PO-2026-69350,Global Supplies Inc,2026-01-22,2026-02-20,2026-02-20,80x Mouse; 6x Laptop; 15x Power Supply; 22x SSD Storage,123,936.20,90898.25,AUD,Partial,COD,Operations,London,Pending,Standard delivery,9089.83,99988.08,Emily Chen,Tom Martinez
PO-2026-39207,Acme Corp,2026-01-22,2026-02-10,2026-02-10,48x Keyboard; 62x Power Supply; 82x SSD Storage; 82x USB Cable,274,719.79,181748.78,AUD,Received,COD,IT,London,Rejected,Standard delivery,18174.88,199923.66,Robert Wilson,Alice Brown
PO-2026-88465,Digital Systems,2026-01-22,2026-02-10,2026-02-10,18x Laptop,18,460.60,8290.80,CAD,Cancelled,Net 30,Operations,Sydney,Approved,Special packaging needed,829.08,9119.88,Sarah Johnson,Alice Brown
PO-2026-62822,Quality Distributors,2026-01-22,2026-02-18,2026-02-18,15x Mouse; 52x SSD Storage; 91x USB Cable; 83x Server RAM; 55x Keyboard,296,111.18,89731.72,AUD,Approved,Due on Receipt,Operations,Chicago,Approved,Special packaging needed,8973.17,98704.89,Mike Davis,David Lee
PO-2026-14762,Tech Solutions Ltd,2026-01-22,2026-02-15,2026-02-15,24x Network Switch; 31x Office Desk; 54x Power Supply; 80x SSD Storage,189,703.12,63419.79,EUR,Cancelled,COD,Operations,New York,Pending,Urgent delivery required,6341.98,69761.77,Sarah Johnson,Tom Martinez
PO-2026-58505,Acme Corp,2026-01-22,2026-02-14,2026-02-14,57x Monitor; 12x Office Desk; 98x Network Switch; 46x SSD Storage,213,847.01,145393.43,GBP,Received,Net 30,Finance,Chicago,Pending,Urgent delivery required,14539.34,159932.77,Sarah Johnson,Tom Martinez
PO-2026-39471,Acme Corp,2026-01-22,2026-02-20,2026-02-20,69x Keyboard; 43x Printer Paper; 49x Network Switch,161,158.44,52434.18,USD,Partial,Net 90,Logistics,Chicago,Rejected,,5243.42,57677.60,Sarah Johnson,Jessica White
PO-2026-79232,Component World,2026-01-22,2026-02-06,2026-02-06,32x Desk Chair; 29x Keyboard; 97x SSD Storage,158,533.18,69550.98,AUD,Draft,2/10 Net 30,IT,Sydney,Approved,Standard delivery,6955.10,76506.08,Mike Davis,Jessica White
PO-2026-73585,Acme Corp,2026-01-22,2026-02-02,2026-02-02,82x Ink Cartridge; 68x Router; 44x Laptop; 23x Network Switch; 13x Router,230,161.37,142405.36,GBP,Approved,Net 60,Operations,Los Angeles,Approved,Urgent delivery required,14240.54,156645.90,Sarah Johnson,Jessica White
PO-2026-32333,Premium Materials Co,2026-01-22,2026-02-11,2026-02-11,93x Server RAM; 100x Monitor; 38x Ink Cartridge; 4x Mouse; 16x SSD Storage,251,618.05,96083.35,GBP,Approved,Due on Receipt,IT,New York,Pending,Urgent delivery required,9608.33,105691.68,Emily Chen,David Lee
PO-2026-52605,Industrial Parts Group,2026-01-22,2026-02-11,2026-02-11,21x USB Cable; 40x Router,61,536.57,14876.37,USD,Approved,Due on Receipt,Logistics,Chicago,Approved,Special packaging needed,1487.64,16364.01,Mike Davis,Alice Brown
PO-2026-39054,Enterprise Solutions,2026-01-22,2026-02-07,2026-02-07,93x Filing Cabinet; 38x USB Cable; 56x Mouse; 97x Ink Cartridge; 98x SSD Storage,382,669.22,211843.76,CAD,Approved,Net 30,HR,Chicago,Rejected,,21184.38,233028.14,Sarah Johnson,Jessica White
PO-2026-35255,Tech Solutions Ltd,2026-01-22,2026-02-19,2026-02-19,72x Laptop; 88x Printer Paper; 47x Server RAM; 89x Filing Cabinet; 11x Keyboard,307,849.44,170731.65,AUD,Approved,Due on Receipt,Finance,Los Angeles,Approved,Standard delivery,17073.17,187804.82,Robert Wilson,Jessica White
PO-2026-92600,Industrial Parts Group,2026-01-22,2026-02-16,2026-02-16,78x Desk Chair,78,344.30,26855.40,CAD,Partial,Due on Receipt,IT,Toronto,Approved,Urgent delivery required,2685.54,29540.94,Sarah Johnson,Jessica White
PO-2026-75799,Digital Systems,2026-01-22,2026-02-19,2026-02-19,45x Office Desk; 17x Server RAM; 96x Router,158,921.10,120600.19,AUD,Draft,2/10 Net 30,Finance,Chicago,Approved,Standard delivery,12060.02,132660.21,Emily Chen,Tom Martinez
PO-2026-57053,Industrial Parts Group,2026-01-22,2026-02-14,2026-02-14,16x Printer Paper; 40x Mouse,56,705.13,28615.28,USD,Partial,COD,Operations,Chicago,Approved,Standard delivery,2861.53,31476.81,Mike Davis,Alice Brown
PO-2026-78860,Global Supplies Inc,2026-01-22,2026-02-13,2026-02-13,94x Network Switch; 69x Mouse; 72x Router; 58x Server RAM,293,145.52,123491.01,EUR,Partial,2/10 Net 30,Finance,Sydney,Pending,Special packaging needed,12349.10,135840.11,Robert Wilson,Alice Brown
PO-2026-58737,Acme Corp,2026-01-22,2026-01-28,2026-01-28,3x USB Cable; 95x Ink Cartridge; 61x Ink Cartridge,159,777.17,118808.47,GBP,Partial,COD,Finance,London,Rejected,Special packaging needed,11880.85,130689.32,Sarah Johnson,Lisa Anderson
PO-2026-73901,Digital Systems,2026-01-22,2026-02-06,2026-02-06,53x Network Switch; 98x Ink Cartridge; 29x Keyboard; 60x SSD Storage; 12x Monitor,252,395.28,98770.39,GBP,Pending,2/10 Net 30,Operations,Sydney,Approved,Standard delivery,9877.04,108647.43,Mike Davis,Jessica White
PO-2026-31744,Enterprise Solutions,2026-01-22,2026-02-07,2026-02-07,58x Ink Cartridge; 62x Desk Chair; 24x Ink Cartridge,144,40.88,10807.72,GBP,Approved,COD,Finance,Chicago,Rejected,Urgent delivery required,1080.77,11888.49,Mike Davis,David Lee
PO-2026-30295,Office Plus,2026-01-22,2026-02-07,2026-02-07,90x Filing Cabinet; 78x Printer Paper; 72x Server RAM,240,697.72,130812.12,EUR,Partial,Net 60,Operations,Sydney,Rejected,Standard delivery,13081.21,143893.33,John Smith,Jessica White
PO-2026-15005,Component World,2026-01-22,2026-02-07,2026-02-07,23x Printer Paper; 77x SSD Storage; 47x Printer Paper; 63x Monitor,210,984.92,133020.69,GBP,Approved,Net 30,Operations,Los Angeles,Rejected,Quality inspection required,13302.07,146322.76,John Smith,David Lee
PO-2026-46529,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,74x USB Cable,74,19.56,1447.44,CAD,Approved,Net 90,HR,Los Angeles,Rejected,,144.74,1592.18,Robert Wilson,Alice Brown
PO-2026-74265,Premium Materials Co,2026-01-22,2026-02-17,2026-02-17,33x Office Desk; 23x Mouse; 90x Desk Chair; 86x Keyboard; 39x Office Desk,271,160.22,94116.15,CAD,Pending,2/10 Net 30,Finance,London,Pending,Standard delivery,9411.62,103527.77,Robert Wilson,Tom Martinez
PO-2026-21454,Digital Systems,2026-01-22,2026-02-21,2026-02-21,17x Ink Cartridge; 90x Router; 56x Network Switch,163,317.13,74736.27,CAD,Pending,COD,IT,London,Approved,Standard delivery,7473.63,82209.90,John Smith,David Lee
PO-2026-78923,Component World,2026-01-22,2026-02-18,2026-02-18,80x Server RAM; 94x Ink Cartridge,174,569.57,92354.10,GBP,Cancelled,Net 60,IT,Toronto,Approved,Quality inspection required,9235.41,101589.51,John Smith,Alice Brown
PO-2026-72939,Digital Systems,2026-01-22,2026-02-06,2026-02-06,71x Router; 98x Desk Chair,169,333.39,92082.53,GBP,Cancelled,COD,HR,Toronto,Rejected,Urgent delivery required,9208.25,101290.78,John Smith,Jessica White
PO-2026-59254,Component World,2026-01-22,2026-01-27,2026-01-27,54x Ink Cartridge,54,234.10,12641.40,CAD,Draft,2/10 Net 30,HR,London,Rejected,Urgent delivery required,1264.14,13905.54,John Smith,Alice Brown
PO-2026-60341,Office Plus,2026-01-22,2026-02-13,2026-02-13,19x Filing Cabinet; 26x Desk Chair; 3x SSD Storage,48,313.52,25915.59,AUD,Pending,COD,Operations,New York,Pending,,2591.56,28507.15,Emily Chen,Jessica White
PO-2026-33525,Office Plus,2026-01-22,2026-02-02,2026-02-02,26x Office Desk; 49x SSD Storage; 48x Desk Chair; 94x Desk Chair; 17x Ink Cartridge,234,790.31,110142.70,GBP,Cancelled,2/10 Net 30,Operations,New York,Rejected,Quality inspection required,11014.27,121156.97,Mike Davis,Tom Martinez
PO-2026-27112,Industrial Parts Group,2026-01-22,2026-02-17,2026-02-17,20x USB Cable; 20x Printer Paper; 21x Router; 14x Keyboard,75,233.76,35847.45,CAD,Approved,Net 90,HR,London,Pending,Urgent delivery required,3584.74,39432.19,Sarah Johnson,Lisa Anderson
PO-2026-71374,Industrial Parts Group,2026-01-22,2026-02-02,2026-02-02,35x Ink Cartridge; 84x Office Desk,119,540.05,38990.35,AUD,Pending,Net 60,IT,Los Angeles,Approved,Standard delivery,3899.03,42889.39,John Smith,David Lee
PO-2026-17400,Enterprise Solutions,2026-01-22,2026-02-09,2026-02-09,77x Router; 77x USB Cable,154,763.45,75697.93,EUR,Pending,Net 30,Finance,Los Angeles,Rejected,,7569.79,83267.72,Sarah Johnson,Lisa Anderson
PO-2026-73518,Enterprise Solutions,2026-01-22,2026-02-18,2026-02-18,92x Power Supply; 85x Office Desk; 73x Power Supply,250,795.38,151555.12,EUR,Pending,2/10 Net 30,Logistics,New York,Pending,Standard delivery,15155.51,166710.63,Mike Davis,Jessica White
PO-2026-96094,Enterprise Solutions,2026-01-22,2026-01-31,2026-01-31,94x Server RAM; 42x SSD Storage; 76x Server RAM; 66x Router,278,874.66,222015.68,AUD,Partial,COD,Finance,Chicago,Rejected,Special packaging needed,22201.57,244217.25,Robert Wilson,Lisa Anderson
PO-2026-92518,Acme Corp,2026-01-22,2026-02-15,2026-02-15,28x Router; 21x Printer Paper; 1x Mouse; 3x Printer Paper,53,36.44,19734.48,AUD,Partial,COD,Logistics,Chicago,Pending,Special packaging needed,1973.45,21707.93,John Smith,Tom Martinez
PO-2026-53051,Premium Materials Co,2026-01-22,2026-02-06,2026-02-06,46x Laptop,46,316.32,14550.72,CAD,Pending,Net 30,Finance,Toronto,Pending,Standard delivery,1455.07,16005.79,Robert Wilson,Tom Martinez
PO-2026-41248,Acme Corp,2026-01-22,2026-02-02,2026-02-02,36x Monitor,36,385.83,13889.88,USD,Approved,Net 60,Operations,New York,Rejected,Standard delivery,1388.99,15278.87,Robert Wilson,Lisa Anderson
PO-2026-93964,Premium Materials Co,2026-01-22,2026-02-18,2026-02-18,28x Power Supply; 100x Monitor; 67x Printer Paper; 33x Server RAM; 41x Desk Chair,269,859.89,162174.14,CAD,Approved,2/10 Net 30,Logistics,Los Angeles,Approved,,16217.41,178391.55,Sarah Johnson,Alice Brown
PO-2026-62530,Office Plus,2026-01-22,2026-01-31,2026-01-31,79x Keyboard; 5x Network Switch; 31x Laptop; 97x Ink Cartridge; 34x Mouse,246,414.65,85424.97,EUR,Received,Net 90,Logistics,Chicago,Approved,Standard delivery,8542.50,93967.47,John Smith,Jessica White
PO-2026-82534,Component World,2026-01-22,2026-02-08,2026-02-08,70x Desk Chair; 71x Power Supply; 33x Laptop; 35x Ink Cartridge,209,40.01,71121.87,USD,Partial,Net 30,Logistics,Sydney,Rejected,Quality inspection required,7112.19,78234.06,Mike Davis,Jessica White
PO-2026-79625,Tech Solutions Ltd,2026-01-22,2026-01-28,2026-01-28,84x Desk Chair; 13x Printer Paper; 29x Laptop; 85x Router; 60x USB Cable,271,705.07,206248.63,USD,Cancelled,Due on Receipt,Logistics,New York,Rejected,Quality inspection required,20624.86,226873.49,Emily Chen,David Lee
PO-2026-61966,Premium Materials Co,2026-01-22,2026-01-27,2026-01-27,51x Ink Cartridge,51,827.02,42178.02,GBP,Partial,Net 30,Operations,New York,Rejected,Urgent delivery required,4217.80,46395.82,Sarah Johnson,David Lee
PO-2026-19483,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,44x Keyboard,44,330.86,14557.84,GBP,Cancelled,Net 90,Operations,Chicago,Rejected,Special packaging needed,1455.78,16013.62,Robert Wilson,Tom Martinez
PO-2026-17510,Acme Corp,2026-01-22,2026-02-11,2026-02-11,98x Desk Chair; 22x Mouse; 44x Monitor; 50x Printer Paper; 28x Monitor,242,574.70,115104.74,CAD,Partial,Net 30,Logistics,Chicago,Approved,Special packaging needed,11510.47,126615.21,John Smith,Alice Brown
PO-2026-49401,Digital Systems,2026-01-22,2026-01-31,2026-01-31,40x Server RAM; 57x Ink Cartridge; 15x Keyboard; 52x Printer Paper; 54x Office Desk,218,723.02,182036.68,EUR,Cancelled,Due on Receipt,Finance,Toronto,Rejected,Urgent delivery required,18203.67,200240.35,John Smith,Alice Brown
PO-2026-20110,Enterprise Solutions,2026-01-22,2026-02-17,2026-02-17,52x Monitor; 67x USB Cable; 41x Power Supply; 42x Keyboard,202,210.83,108336.58,EUR,Draft,Net 30,Finance,Los Angeles,Approved,Quality inspection required,10833.66,119170.24,Emily Chen,Tom Martinez
PO-2026-47230,Quality Distributors,2026-01-22,2026-01-27,2026-01-27,62x Monitor,62,504.80,31297.60,USD,Pending,Due on Receipt,IT,Chicago,Approved,,3129.76,34427.36,Robert Wilson,David Lee
PO-2026-96994,Office Plus,2026-01-22,2026-02-03,2026-02-03,18x Server RAM; 66x Filing Cabinet; 74x Mouse; 96x Mouse,254,170.17,99779.06,USD,Received,Net 90,Finance,Toronto,Pending,,9977.91,109756.97,Sarah Johnson,Lisa Anderson
PO-2026-90686,Office Plus,2026-01-22,2026-02-14,2026-02-14,96x Network Switch,96,671.89,64501.44,CAD,Received,COD,Finance,Sydney,Rejected,Quality inspection required,6450.14,70951.58,Sarah Johnson,Jessica White
PO-2026-54283,Component World,2026-01-22,2026-02-17,2026-02-17,24x SSD Storage; 17x USB Cable; 84x Ink Cartridge; 25x Server RAM; 52x Ink Cartridge,202,744.61,160038.51,EUR,Cancelled,COD,HR,Toronto,Approved,Quality inspection required,16003.85,176042.36,Emily Chen,Lisa Anderson
PO-2026-70549,Digital Systems,2026-01-22,2026-01-27,2026-01-27,11x Network Switch; 76x Network Switch; 59x Keyboard,146,245.58,62175.75,CAD,Pending,Due on Receipt,Finance,Chicago,Rejected,,6217.58,68393.33,Mike Davis,Alice Brown
PO-2026-42783,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,14x Printer Paper; 66x Router,80,304.34,24704.92,EUR,Received,Net 60,HR,Los Angeles,Pending,,2470.49,27175.41,Mike Davis,Alice Brown
PO-2026-60270,Acme Corp,2026-01-22,2026-02-04,2026-02-04,72x SSD Storage,72,392.52,28261.44,USD,Received,Due on Receipt,Operations,New York,Approved,Urgent delivery required,2826.14,31087.58,Mike Davis,Alice Brown
PO-2026-24197,Component World,2026-01-22,2026-02-19,2026-02-19,80x Printer Paper,80,876.85,70148.00,AUD,Received,Net 30,Logistics,London,Pending,Urgent delivery required,7014.80,77162.80,Emily Chen,David Lee
PO-2026-82979,Premium Materials Co,2026-01-22,2026-02-11,2026-02-11,70x Network Switch; 71x Network Switch,141,773.67,79841.86,CAD,Partial,Net 30,Logistics,Chicago,Rejected,Urgent delivery required,7984.19,87826.05,Emily Chen,David Lee
PO-2026-28584,Premium Materials Co,2026-01-22,2026-02-13,2026-02-13,65x Printer Paper; 68x SSD Storage; 73x Power Supply; 98x Ink Cartridge; 24x Office Desk,328,72.00,114352.78,USD,Received,Due on Receipt,IT,New York,Pending,Special packaging needed,11435.28,125788.06,Emily Chen,Tom Martinez
PO-2026-19878,Component World,2026-01-22,2026-01-29,2026-01-29,35x USB Cable,35,834.03,29191.05,EUR,Partial,Due on Receipt,HR,Chicago,Pending,Standard delivery,2919.11,32110.16,Robert Wilson,David Lee
PO-2026-96441,Global Supplies Inc,2026-01-22,2026-01-28,2026-01-28,40x USB Cable; 48x Ink Cartridge; 77x Desk Chair; 25x Desk Chair,190,881.22,54935.41,EUR,Partial,COD,HR,Toronto,Approved,Standard delivery,5493.54,60428.95,Robert Wilson,Lisa Anderson
PO-2026-50482,Digital Systems,2026-01-22,2026-01-31,2026-01-31,64x SSD Storage; 57x Mouse; 95x USB Cable; 32x Printer Paper,248,197.07,46861.23,EUR,Received,Net 60,Finance,London,Pending,Urgent delivery required,4686.12,51547.35,Robert Wilson,Lisa Anderson
PO-2026-23693,Acme Corp,2026-01-22,2026-02-03,2026-02-03,93x Monitor; 26x Server RAM; 100x USB Cable,219,566.29,85889.79,CAD,Cancelled,Net 60,IT,Chicago,Approved,Standard delivery,8588.98,94478.77,Emily Chen,Tom Martinez
PO-2026-94505,Premium Materials Co,2026-01-22,2026-01-31,2026-01-31,23x Monitor; 67x USB Cable; 38x Mouse; 9x USB Cable,137,291.73,68948.71,USD,Pending,2/10 Net 30,IT,Chicago,Rejected,Standard delivery,6894.87,75843.58,Robert Wilson,Jessica White
PO-2026-16483,Enterprise Solutions,2026-01-22,2026-01-29,2026-01-29,29x Laptop; 18x Router; 54x SSD Storage,101,135.84,35476.44,GBP,Pending,Due on Receipt,IT,Toronto,Pending,Standard delivery,3547.64,39024.08,John Smith,Lisa Anderson
PO-2026-71755,Office Plus,2026-01-22,2026-02-20,2026-02-20,3x Desk Chair; 17x Ink Cartridge,20,790.04,17899.28,USD,Received,Net 30,Finance,Toronto,Rejected,Urgent delivery required,1789.93,19689.21,Mike Davis,Tom Martinez
PO-2026-90185,Acme Corp,2026-01-22,2026-02-03,2026-02-03,92x SSD Storage; 63x Ink Cartridge; 21x Filing Cabinet; 68x Router,244,910.37,150318.81,AUD,Approved,2/10 Net 30,Finance,Sydney,Pending,Special packaging needed,15031.88,165350.69,Mike Davis,Jessica White
PO-2026-91649,Tech Solutions Ltd,2026-01-22,2026-02-01,2026-02-01,12x Mouse; 33x Filing Cabinet; 29x Filing Cabinet,74,617.71,25321.88,AUD,Received,Net 90,Logistics,Los Angeles,Rejected,Urgent delivery required,2532.19,27854.07,Emily Chen,Alice Brown
PO-2026-69947,Tech Solutions Ltd,2026-01-22,2026-02-02,2026-02-02,95x USB Cable,95,93.29,8862.55,USD,Pending,Net 90,IT,Toronto,Approved,Standard delivery,886.25,9748.81,Robert Wilson,Jessica White
PO-2026-31246,Component World,2026-01-22,2026-02-21,2026-02-21,47x Power Supply,47,664.49,31231.03,AUD,Pending,Net 90,Operations,Chicago,Approved,Urgent delivery required,3123.10,34354.13,Sarah Johnson,Tom Martinez
PO-2026-72276,Tech Solutions Ltd,2026-01-22,2026-02-16,2026-02-16,30x Printer Paper; 96x Keyboard,126,620.02,88178.52,GBP,Pending,Net 60,Operations,London,Rejected,,8817.85,96996.37,Mike Davis,Tom Martinez
PO-2026-89021,Office Plus,2026-01-22,2026-02-11,2026-02-11,71x Desk Chair; 4x Desk Chair,75,175.03,13154.57,GBP,Pending,COD,IT,Chicago,Rejected,Standard delivery,1315.46,14470.03,Emily Chen,David Lee
PO-2026-21588,Premium Materials Co,2026-01-22,2026-02-12,2026-02-12,64x Ink Cartridge; 84x Laptop; 82x Monitor; 37x Desk Chair; 29x Desk Chair,296,103.21,130363.20,EUR,Cancelled,Due on Receipt,Finance,Chicago,Approved,,13036.32,143399.52,Emily Chen,Alice Brown
PO-2026-15467,Global Supplies Inc,2026-01-22,2026-02-07,2026-02-07,45x Filing Cabinet,45,296.08,13323.60,AUD,Cancelled,Net 30,Finance,Chicago,Pending,Standard delivery,1332.36,14655.96,Sarah Johnson,Alice Brown
PO-2026-40281,Office Plus,2026-01-22,2026-02-08,2026-02-08,17x Router; 64x Network Switch; 56x Desk Chair; 15x Desk Chair,152,629.58,99881.44,GBP,Draft,Due on Receipt,Operations,Chicago,Rejected,Quality inspection required,9988.14,109869.58,Emily Chen,Alice Brown
PO-2026-79411,Tech Solutions Ltd,2026-01-22,2026-02-05,2026-02-05,33x Printer Paper; 51x Server RAM; 74x Printer Paper,158,855.00,120524.53,GBP,Draft,COD,HR,Los Angeles,Pending,Standard delivery,12052.45,132576.98,Emily Chen,Jessica White
PO-2026-85436,Office Plus,2026-01-22,2026-02-06,2026-02-06,72x SSD Storage; 50x Monitor; 75x Power Supply,197,200.18,83798.21,GBP,Partial,Net 90,HR,Chicago,Rejected,Quality inspection required,8379.82,92178.03,Robert Wilson,David Lee
PO-2026-82993,Acme Corp,2026-01-22,2026-02-10,2026-02-10,52x Mouse; 87x Keyboard; 16x Monitor; 17x Ink Cartridge; 94x Printer Paper,266,441.73,158414.69,USD,Cancelled,2/10 Net 30,HR,Sydney,Approved,Special packaging needed,15841.47,174256.16,John Smith,Lisa Anderson
PO-2026-36241,Tech Solutions Ltd,2026-01-22,2026-02-11,2026-02-11,47x Server RAM,47,17.30,813.10,CAD,Draft,2/10 Net 30,Logistics,Chicago,Approved,,81.31,894.41,Sarah Johnson,Tom Martinez
PO-2026-92062,Global Supplies Inc,2026-01-22,2026-02-17,2026-02-17,15x Desk Chair; 75x Server RAM,90,788.02,36649.05,AUD,Pending,Due on Receipt,Logistics,Chicago,Pending,Urgent delivery required,3664.91,40313.96,Emily Chen,Lisa Anderson
PO-2026-32821,Premium Materials Co,2026-01-22,2026-02-16,2026-02-16,36x Power Supply; 24x Printer Paper; 93x USB Cable,153,613.54,115612.20,EUR,Cancelled,Net 60,Finance,Toronto,Approved,Urgent delivery required,11561.22,127173.42,Sarah Johnson,Jessica White
PO-2026-42588,Acme Corp,2026-01-22,2026-01-28,2026-01-28,7x Keyboard; 37x Power Supply; 30x Office Desk; 48x USB Cable; 84x Network Switch,206,474.03,76115.91,AUD,Pending,Net 30,HR,London,Pending,Special packaging needed,7611.59,83727.50,Mike Davis,Alice Brown
PO-2026-83270,Digital Systems,2026-01-22,2026-01-28,2026-01-28,60x Laptop; 10x Keyboard; 23x Ink Cartridge; 64x Ink Cartridge,157,903.70,127675.13,GBP,Draft,Net 30,Operations,Los Angeles,Pending,Special packaging needed,12767.51,140442.64,John Smith,Tom Martinez
PO-2026-92052,Component World,2026-01-22,2026-02-16,2026-02-16,52x Network Switch; 61x Router; 76x USB Cable; 49x Ink Cartridge; 31x SSD Storage,269,418.82,183138.35,EUR,Draft,2/10 Net 30,IT,Toronto,Approved,Urgent delivery required,18313.83,201452.18,Mike Davis,Jessica White
PO-2026-23922,Component World,2026-01-22,2026-02-05,2026-02-05,34x Server RAM; 60x Printer Paper,94,691.80,70962.00,USD,Partial,COD,Operations,Sydney,Pending,,7096.20,78058.20,Mike Davis,Lisa Anderson
PO-2026-76194,Quality Distributors,2026-01-22,2026-02-19,2026-02-19,91x Office Desk; 23x Ink Cartridge; 24x Filing Cabinet,138,301.41,56261.57,AUD,Approved,Net 60,Operations,Toronto,Pending,Quality inspection required,5626.16,61887.73,Sarah Johnson,Jessica White
PO-2026-82312,Tech Solutions Ltd,2026-01-22,2026-01-30,2026-01-30,88x Monitor; 39x Power Supply,127,386.45,39907.13,USD,Partial,Net 90,IT,London,Approved,Special packaging needed,3990.71,43897.84,Emily Chen,Alice Brown
PO-2026-24283,Industrial Parts Group,2026-01-22,2026-02-20,2026-02-20,43x Filing Cabinet; 85x Network Switch; 2x Network Switch,130,63.21,80942.75,GBP,Draft,Net 90,Operations,Sydney,Pending,Standard delivery,8094.28,89037.03,Mike Davis,David Lee
PO-2026-65047,Quality Distributors,2026-01-22,2026-02-04,2026-02-04,72x Filing Cabinet; 45x Ink Cartridge,117,275.83,55370.61,CAD,Cancelled,Due on Receipt,Finance,Chicago,Rejected,Quality inspection required,5537.06,60907.67,Mike Davis,David Lee
PO-2026-56839,Office Plus,2026-01-22,2026-02-19,2026-02-19,15x Server RAM; 7x Keyboard; 72x Printer Paper; 63x Mouse,157,517.19,60332.55,CAD,Approved,COD,HR,London,Pending,,6033.26,66365.81,Robert Wilson,Alice Brown
PO-2026-99795,Digital Systems,2026-01-22,2026-01-27,2026-01-27,47x Keyboard; 15x Power Supply,62,896.67,44074.29,EUR,Partial,2/10 Net 30,Logistics,Sydney,Rejected,Urgent delivery required,4407.43,48481.72,Mike Davis,David Lee
PO-2026-70946,Enterprise Solutions,2026-01-22,2026-02-09,2026-02-09,45x Filing Cabinet; 83x USB Cable,128,52.55,12821.09,USD,Pending,COD,Finance,Sydney,Approved,Quality inspection required,1282.11,14103.20,Robert Wilson,Alice Brown
PO-2026-95512,Global Supplies Inc,2026-01-22,2026-02-21,2026-02-21,66x Filing Cabinet; 10x Printer Paper; 98x Monitor; 33x Laptop; 100x SSD Storage,307,166.65,133155.62,USD,Partial,Net 90,Operations,London,Pending,Urgent delivery required,13315.56,146471.18,Robert Wilson,Tom Martinez
PO-2026-57523,Tech Solutions Ltd,2026-01-22,2026-02-21,2026-02-21,100x Server RAM; 83x Power Supply,183,941.59,145926.10,GBP,Approved,Net 90,Finance,Los Angeles,Pending,Standard delivery,14592.61,160518.71,Emily Chen,Alice Brown
PO-2026-54715,Premium Materials Co,2026-01-22,2026-02-06,2026-02-06,21x Printer Paper; 98x Keyboard; 66x Printer Paper,185,729.66,149123.12,CAD,Cancelled,Net 60,Operations,New York,Pending,Special packaging needed,14912.31,164035.43,Robert Wilson,Tom Martinez
PO-2026-99269,Acme Corp,2026-01-22,2026-02-02,2026-02-02,59x Desk Chair; 53x Printer Paper; 37x Keyboard,149,801.79,97750.79,GBP,Partial,Due on Receipt,IT,Toronto,Approved,,9775.08,107525.87,Mike Davis,Alice Brown
PO-2026-19572,Quality Distributors,2026-01-22,2026-02-12,2026-02-12,6x Ink Cartridge; 87x Printer Paper; 97x Printer Paper; 91x USB Cable; 93x SSD Storage,374,717.66,149084.74,AUD,Received,2/10 Net 30,Finance,New York,Approved,Standard delivery,14908.47,163993.21,Sarah Johnson,Alice Brown
PO-2026-74811,Quality Distributors,2026-01-22,2026-02-20,2026-02-20,81x USB Cable; 11x Keyboard; 13x Router,105,145.90,31174.51,AUD,Received,2/10 Net 30,Finance,New York,Pending,Urgent delivery required,3117.45,34291.96,Mike Davis,Jessica White
PO-2026-16014,Office Plus,2026-01-22,2026-02-08,2026-02-08,73x Desk Chair; 10x SSD Storage; 57x Filing Cabinet,140,594.14,53060.70,USD,Draft,Net 60,Logistics,London,Pending,Special packaging needed,5306.07,58366.77,Mike Davis,Jessica White
